"","SUNY at Buffalo  - North Campus","","","","",""
"","Building Utilities Cost & Consumption Report","","","","",""
"","Accounting Period: July 2013 to June 2014","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"Building Code","Building Name","Use","Demand","Cost","Cost/Unit","Notes"
"","","","","","",""
"03-ALUMNI-A480","ALUMNI ARENA","391,865 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"Commodity:","Natural Gas","Unit: CCF","","","",""
"","","","","","",""
"","Jul","12414","","7088.768","0.57103012727566","2012: Pharmacy School move to Kapoor - decrease in gas usage."
"","","","","","",""
"","Aug","11915","","6539.4947","0.54884554762904",""
"","","","","","",""
"","Sep","11337","","6003.1053","0.52951444826674",""
"","","","","","",""
"","Oct","12009","","6231.899","0.51893571488051",""
"","","","","","",""
"","Nov","13675","","6778.8663","0.49571234369287",""
"","","","","","",""
"","Dec","20527","","10921.1616","0.53203885614069",""
"","","","","","",""
"","Jan","22521","","12721.4075","0.56486867812264",""
"","","","","","",""
"","Feb","16298","","9980.1351","0.61235336237575",""
"","","","","","",""
"","Mar","8920","","5196.1227","0.58252496636771",""
"","","","","","",""
"","Apr","13653","","8475.9764","0.62081420933128",""
"","","","","","",""
"","May","12012","","7487.3923","0.62332603230103",""
"","","","","","",""
"","Jun","10679","","6850.0482","0.6414503417923",""
"","","","","","",""
"","","165960","","94274.3771","0.56805481501567",""
"Buidling Total Cost","Buidling Total Cost","","","1064762.0535","",""
"","","","","","",""
"03-CRK801-A801-825-A825","Creekside Village","128,394 SQFEET ","","","",""
"","","","","","",""
"","","","","","",""
"Commodity:","Electric","Unit: KWH","","","",""
"","Jul","55332.16","229.44","4138.7931","0.074799051763025",""
"","","","","","",""
"","Aug","47897.11","220.08","2911.4626","0.060785767659051",""
"","","","","","",""
"","Sep","44825.68","228.21","2910.6454","0.064932543131526",""
